Type,Module,Name,Documented,Documentation Files,Suggested Doc Path
Class,trim.account.apps,AccountConfig,No,,docs/trim/account/apps.md
Class,trim.account.forms,EmailChangeToken,No,,docs/trim/account/forms.md
Class,trim.account.models,Account,Yes,account.md; urls/functions.md; urls/readme.md; old/views.md; old/old r.md; old/urls/path_include.md,docs/trim/account/models.md
Class,trim.account.models,AccountEmail,No,,docs/trim/account/models.md
Class,trim.account.models,EmailInvite,No,,docs/trim/account/models.md
Class,trim.account.models,ForgotPasswordRecord,No,,docs/trim/account/models.md
Function,trim.account.signals,create_user_account,No,,docs/trim/account/signals.md
Class,trim.account.views.account,PasswordChangeView,No,,docs/trim/account/views/account.md
Class,trim.account.views.account,PasswordResetView,No,,docs/trim/account/views/account.md
Class,trim.account.views.account,ProfileForgotPasswordSuccessView,No,,docs/trim/account/views/account.md
Class,trim.account.views.account,ProfileInactiveAccount,No,,docs/trim/account/views/account.md
Class,trim.account.views.account,ProfileLogin,No,,docs/trim/account/views/account.md
Class,trim.account.views.account,ProfileLogout,No,,docs/trim/account/views/account.md
Class,trim.account.views.account,ProfilePasswordUpdateView,No,,docs/trim/account/views/account.md
Function,trim.account.views.account,logout_view,No,,docs/trim/account/views/account.md
Class,trim.account.views.email,VerifiedEmailUpdateView,No,,docs/trim/account/views/email.md
Class,trim.account.views.email,VerifyEmailTokenView,No,,docs/trim/account/views/email.md
Class,trim.account.views.invite,EmailInviteCreateView,No,,docs/trim/account/views/invite.md
Class,trim.account.views.invite,EmailInviteListView,No,,docs/trim/account/views/invite.md
Class,trim.account.views.profile,ProfileEmailUpdateView,No,,docs/trim/account/views/profile.md
Class,trim.account.views.profile,ProfileNewAccount,No,,docs/trim/account/views/profile.md
Class,trim.account.views.profile,ProfileUpdateView,No,,docs/trim/account/views/profile.md
Class,trim.account.views.profile,ProfileUsernameUpdateView,No,,docs/trim/account/views/profile.md
Class,trim.account.views.profile,ProfileView,Yes,old/urls.md,docs/trim/account/views/profile.md
